Strain_code,Species,fold_compare,fold_compare_rep,foldchange,Locus,CC,Lineage
FSL S10-2287,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,,
FSL S10-2558,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL S10-2573,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,,
FSL S10-2630,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,lmo1409,,
FSL S10-3421,Marthii,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,"lmo2377,lmo2588",,
FSL S10-3425,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,0.666666667,bcrABC,,
FSL S10-3467,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC1789,III
FSL S10-3481,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL S10-3496,Welshimeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo2588,,
FSL S10-3513,Marthii,Fold_substreaked_parent,Fold_substreakedrep2_parent,6,lmo1409,,
FSL S10-3516,Marthii,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,"lmo2377,lmo2588",,
FSL S10-3544,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,,
FSL S10-3558,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC434,III
FSL S10-3574,Welshimeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo2588,,
FSL S10-3605,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,,
FSL S11-0003,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,lmo1409,,
FSL S11-0027,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC6,I
FSL S11-0060,Welshimeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,0.5,bcrABC,,
FSL S11-0073,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,lmo1409,,
FSL S11-0076,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,lmo1409,,
FSL S11-0106,Welshimeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,lmo2588,,
FSL S11-0115,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL S11-0119,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL S11-0136,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC4,I
FSL S11-0146,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC37,II
FSL S11-0167,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,0.666666667,bcrABC,,
FSL S11-0176,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,,
FSL S11-0216,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC388,I
FSL S11-0238,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL S11-0241,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL S11-0256,Welshimeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,1.5,bcrABC,,
FSL S11-0272,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC4,I
FSL S11-0274,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL S11-0280,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL S11-0315,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,,
FSL S11-0322,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL S11-0386,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,CC6,I
FSL S11-0426,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,,
FSL S11-0429,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL S11-0432,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,bcrABC,CC155,II
FSL S11-0456,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,,
